,total,chk_3,chk_4,ratio3
96321f17,,,,
f3ddf775,,,,
17674459,,,,
5cf4b4a7,,,,
9b30036c,,,,
93014e27,,,,
672f3e0e,,,,
eff4bc06,,,,
a2a833aa,,,,
1cc8f527,,,,
4d2b2a82,,,,
7ae78bcf,,,,
a16f0572,,,,
80e835b8,,,,
90ced093,,,,
7b186c0d,,,,
62e26ac9,,,,
a74a7d96,,,,
2bfa6444,,,,
cdb5fd83,,,,
7fa488ef,,,,
7a6aa0a1,,,,
afa324b9,,,,
b720d7a3,,,,
f4eba0db,,,,
86339c11,,,,
e377da53,,,,
522d9351,,,,
ddcbd2ab,,,,
80e0b5e5,,,,
f37f7a09,,,,
12fa5ae1,,,,
f73f2778,,,,
9d7ad736,,,,
2af8ebb6,,,,
fc8c109e,,,,
951fece4,,,,
d646264d,,,,
bdd07a84,,,,
df3fccd2,,,,
893cf477,,,,
3870d58a,,,,
cb028006,,,,
4833e042,,,,
228f29f2,,,,
e5d4e0ee,,,,
dd6d4fdf,,,,
d2de1a5a,,,,
ea40d26e,,,,
529c26a2,,,,
7d0338d3,,,,
732f0827,,,,
19cfc58b,,,,
c66488f8,,,,
a6013273,,,,
5ded8dd7,,,,
738764d4,,,,
3d506c01,,,,
756925c3,,,,
b0df0c11,,,,
0d8b8e2e,,,,
f0099dad,,,,
4b91223d,,,,
ec2a3227,,,,
558a48db,,,,
93461fb6,,,,
a4515a4c,,,,
94f2ad5b,,,,
46cbb4bb,,,,
295dae82,,,,
e5a46084,,,,
d28dc82d,,,,
02019f83,,,,
63c63fe9,,,,
203cc407,,,,
3846bfb7,,,,
e3f210ad,,,,
a54ecde4,,,,
ba739b22,,,,
0c350d9a,,,,
7454902b,,,,
60f5d48b,,,,
b4e80087,,,,
eb293b18,,,,
5968970d,,,,
57ff78f4,,,,
746bd1ba,,,,
bd05f71b,,,,
3505f472,,,,
842d5476,,,,
9a9c3467,,,,
155a2285,,,,
1d2be742,,,,
0f343b90,,,,
c18fe0ea,,,,
35000723,,,,
ea0798b3,,,,
6c0f93eb,,,,
16d361ee,,,,
4a7e979b,,,,
a1059139,,,,
01b8652f,,,,
4bde8e66,,,,
ec0519c7,,,,
bc4a12de,,,,
b9a24934,,,,
8fdb8cff,,,,
db7aa2c2,,,,
bf098008,,,,
7ac03825,,,,
dda5711f,,,,
8bb20ce8,,,,
2d39a07d,,,,
9cc11704,,,,
3dc1a326,,,,
a96a7671,,,,
0408427b,,,,
b35f0937,,,,
2ac3fbdb,,,,
adb9b113,,,,
d94dde7f,,,,
580f331b,,,,
7acaf2b2,,,,
53a0f799,,,,
69baf46e,,,,
9c5ca44f,,,,
b4a8bc33,,,,
34a8cbc0,,,,
cafdfe8a,,,,
1e464aa9,,,,
517a7899,,,,
536bf8d9,,,,
e6490547,,,,
81c9e233,,,,
7d3c31a0,,,,
d922de36,,,,
8c61d662,,,,
422246af,,,,
dd46e5af,,,,
8be18847,,,,
02a95d36,,,,
b24cab7d,,,,
2e560759,,,,
9e4051b2,,,,
e90c2ca2,,,,
b008f983,,,,
69800875,,,,
f86ef336,,,,
56d46897,,,,
b422de7e,,,,
0eef1b0d,,,,
0c7e3723,,,,
2f19f37b,,,,
1cdfb548,,,,
003fc2a5,,,,
c44c0cdc,,,,
ec0e5a73,,,,
eb2b9aea,,,,
028aa854,,,,
1c3873ba,,,,
aaed5658,,,,
