,filter len-forward,filter len-backward,avr_mse
11,1,12,0.172477888
217,10,2,0.175375089
148,7,5,0.182615296
125,6,6,0.186720412
56,3,9,0.195602387
102,5,7,0.196994757
240,11,1,0.197543407
33,2,10,0.204741292
79,4,8,0.22538646
73,4,2,0.235352609
10,1,11,0.236573242
170,8,3,0.261175758
50,3,3,0.262558445
193,9,2,0.266038313
147,7,4,0.271593191
96,5,1,0.277799583
101,5,6,0.289735759
216,10,1,0.289885562
124,6,5,0.292045374
27,2,4,0.294329138
32,2,9,0.327465727
4,1,5,0.351891218
78,4,7,0.352538662
9,1,10,0.377071201
55,3,8,0.416963759
100,5,5,0.63365783
169,8,2,0.768057067
192,9,1,0.804167406
146,7,3,0.860674978
97,5,2,1.03886581
54,3,7,1.050921112
8,1,9,1.21115286
31,2,8,1.239262918
74,4,3,1.374079371
5,1,6,1.93652856
51,3,4,2.028671304
28,2,5,2.124450257
77,4,6,5.265793674
120,6,1,10.50851583
123,6,4,59.90049951
30,2,7,123.5437595
99,5,4,123.9133045
7,1,8,131.624897
145,7,2,183.3688939
121,6,2,282.0579424
122,6,3,414.5100996
98,5,3,462.7809631
52,3,5,489.4975727
29,2,6,609.3631957
144,7,1,2009.687856
6,1,7,2012.176373
76,4,5,4360.107555
53,3,6,11517.90473
75,4,4,15221.52835
168,8,1,18397.19366
