,f_fwd,f_bwd,avr_smape
80,4.0,9.0,33.550951168617765
57,3.0,10.0,33.57736376821533
50,3.0,3.0,33.70052708903239
27,2.0,4.0,33.77064910532044
126,6.0,7.0,33.943628687998775
73,4.0,2.0,34.00608579468071
103,5.0,8.0,34.008193868423504
96,5.0,1.0,34.60737042111377
4,1.0,5.0,34.63368111565317
171,8.0,4.0,35.77896874267468
217,10.0,2.0,35.862580926980954
194,9.0,3.0,35.8850523792978
125,6.0,6.0,35.93740591836144
148,7.0,5.0,35.9405056335928
240,11.0,1.0,35.96587391101248
79,4.0,8.0,36.04125820903521
33,2.0,10.0,36.112959601849774
56,3.0,9.0,36.332316159686535
102,5.0,7.0,36.44154295055719
10,1.0,11.0,36.50181735196816
124,6.0,5.0,39.17852006630744
147,7.0,4.0,39.2819533859328
170,8.0,3.0,39.56903750190617
101,5.0,6.0,39.73255207572612
78,4.0,7.0,39.791262222011106
193,9.0,2.0,39.81454622040381
216,10.0,1.0,40.02042709521661
32,2.0,9.0,40.184657965023945
9,1.0,10.0,40.3429405443141
55,3.0,8.0,40.5785250679309
51,3.0,4.0,43.44616902135993
97,5.0,2.0,43.78060953287192
28,2.0,5.0,43.835980817433175
74,4.0,3.0,43.843499067047254
120,6.0,1.0,44.40382697118654
123,6.0,4.0,45.057737157304686
100,5.0,5.0,45.22869300128293
5,1.0,6.0,45.606175771860215
146,7.0,3.0,45.76183118732828
169,8.0,2.0,45.824859058273056
77,4.0,6.0,46.14180699401695
192,9.0,1.0,46.18403778301744
54,3.0,7.0,46.36382593370833
8,1.0,9.0,46.57037662658022
31,2.0,8.0,47.00621201023154
99,5.0,4.0,58.066902806856874
122,6.0,3.0,58.20823302436778
76,4.0,5.0,58.25796474965585
145,7.0,2.0,58.3582814251922
168,8.0,1.0,58.5537579030235
30,2.0,7.0,58.78610175179843
53,3.0,6.0,59.320885879747436
7,1.0,8.0,59.6751633971875
75,4.0,4.0,63.267668892554674
98,5.0,3.0,64.49175659697265
144,7.0,1.0,64.51565101179708
52,3.0,5.0,65.00613737859939
29,2.0,6.0,65.02870573443367
121,6.0,2.0,65.30173651106621
6,1.0,7.0,66.83800823594862
