,total,chk_3,chk_4,ratio3
6d75f63a,,,,
721595ff,,,,
400833f6,,,,
8d40618e,,,,
adade730,,,,
75f3e8d5,,,,
b04f7097,,,,
ed090c88,,,,
df3420fe,,,,
2025547f,,,,
8b6b5b78,,,,
baffd4ef,,,,
6b8fcff9,,,,
f45443b1,,,,
864fe009,,,,
ca7db322,,,,
e539f647,,,,
25e3e0e3,,,,
03fdc5e0,,,,
7b35a793,,,,
1b059a5b,,,,
af3be9eb,,,,
5cecb978,,,,
0a425276,,,,
e68d0474,,,,
24626bad,,,,
bfb8518d,,,,
e61ccf49,,,,
50d06e36,,,,
b2b7db1a,,,,
9e763b78,,,,
d419aa9a,,,,
7152f143,,,,
7e400f1d,,,,
21645560,,,,
72442e2a,,,,
a4093627,,,,
4dc8351b,,,,
fa1bff4c,,,,
0018d3d9,,,,
33b3219c,,,,
7376590a,,,,
7c6dfb23,,,,
18a7025c,,,,
36e2aa49,,,,
73d9340e,,,,
3e1bb418,,,,
3cfa502d,,,,
b6bda39f,,,,
724bef19,,,,
dd084482,,,,
aedf590a,,,,
066103d3,,,,
769a4413,,,,
8f3d1258,,,,
15bbd192,,,,
146119ef,,,,
a08cd40b,,,,
0d468241,,,,
b3ea085f,,,,
fba35bd5,,,,
1c3edf34,,,,
7e58f084,,,,
3bf2937e,,,,
6f09e7ba,,,,
fc19814e,,,,
6e2ba4d8,,,,
5fffdc84,,,,
bfe22d51,,,,
0a280d7a,,,,
0f3e3e19,,,,
7805ce2d,,,,
56d9b110,,,,
f0e75821,,,,
7fdd616e,,,,
241618c9,,,,
37f56424,,,,
54abb692,,,,
064726e4,,,,
af0c930b,,,,
01654470,,,,
14fcc9b2,,,,
ac01945a,,,,
704db6a6,,,,
84f104a9,,,,
15df34f0,,,,
9428d152,,,,
f9bb2fe1,,,,
cbec5dc7,,,,
5429220d,,,,
1774c4a3,,,,
b601bcf4,,,,
5e2194a5,,,,
f615b14b,,,,
4c7c7a9e,,,,
e7e5c0d8,,,,
1cdb66e2,,,,
5da62b8d,,,,
fb141bda,,,,
0d27226f,,,,
e1fb21f6,,,,
206f247e,,,,
aecca07d,,,,
8dbb8562,,,,
b1cbb695,,,,
c05e6866,,,,
44426bb4,,,,
40437eeb,,,,
7caf15ba,,,,
b10a0767,,,,
46cf5e29,,,,
f5e9d121,,,,
a3dec142,,,,
